step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
1786,Multiclass classification,CSMOTE,imagesegments,600.25,0.3220736249986657,47,0.1332586786114221,
1833,Multiclass classification,CSMOTE,imagesegments,600.25,0.3269343339998158,47,0.132569558,
1880,Multiclass classification,CSMOTE,imagesegments,600.25,0.3321150419997138,47,0.1340425531914893,
1927,Multiclass classification,CSMOTE,imagesegments,600.25,0.3371488749999116,47,0.1333679294239751,
1974,Multiclass classification,CSMOTE,imagesegments,600.25,0.3425188339988381,47,0.1347517730496454,
2021,Multiclass classification,CSMOTE,imagesegments,600.25,0.3483524999992369,47,0.1355764473033152,
2068,Multiclass classification,CSMOTE,imagesegments,600.25,0.3534961669993208,47,0.1368471953578336,
2115,Multiclass classification,CSMOTE,imagesegments,600.25,0.358582375,47,0.1366430260047281,
2162,Multiclass classification,CSMOTE,imagesegments,601.546875,0.4144244999988586,47,0.137372803,
2209,Multiclass classification,CSMOTE,imagesegments,601.546875,0.4198570419994212,47,0.1380715255771842,
2256,Multiclass classification,CSMOTE,imagesegments,601.546875,0.4255785839995951,47,0.1405141843971631,
2303,Multiclass classification,CSMOTE,imagesegments,601.546875,0.4315375419992051,47,0.1398176291793313,
408,Multiclass classification,CSMOTE,keystroke,601.4375,0.046371167,408,0.9803921568627452,
816,Multiclass classification,CSMOTE,keystroke,601.5,0.082672208,408,0.4901960784313725,
1224,Multiclass classification,CSMOTE,keystroke,601.53125,0.1194320419999712,408,0.326797386,
1632,Multiclass classification,CSMOTE,keystroke,601.546875,0.1551250829998025,408,0.2450980392156862,
2040,Multiclass classification,CSMOTE,keystroke,601.5625,0.1906615420011803,408,0.196078431,
2448,Multiclass classification,CSMOTE,keystroke,601.5625,0.2270471249994443,408,0.1633986928104575,
2856,Multiclass classification,CSMOTE,keystroke,601.578125,0.2624850419997528,408,0.1400560224089636,
3264,Multiclass classification,CSMOTE,keystroke,601.578125,0.2971251670005586,408,0.1225490196078431,
3672,Multiclass classification,CSMOTE,keystroke,601.625,0.3324927920002665,408,0.1089324618736383,
4080,Multiclass classification,CSMOTE,keystroke,601.671875,0.3668678750000254,408,0.098039216,
4488,Multiclass classification,CSMOTE,keystroke,601.671875,0.4025487079998129,408,0.08912656,
4896,Multiclass classification,CSMOTE,keystroke,601.734375,0.4375068749995989,408,0.081699346,
5304,Multiclass classification,CSMOTE,keystroke,601.734375,0.4711122500011697,408,0.075414781,
5712,Multiclass classification,CSMOTE,keystroke,601.734375,0.5054177920010261,408,0.070028011,
6120,Multiclass classification,CSMOTE,keystroke,601.734375,0.5394407920011872,408,0.065359477,
6528,Multiclass classification,CSMOTE,keystroke,601.734375,0.5735012919994915,408,0.06127451,
6936,Multiclass classification,CSMOTE,keystroke,601.703125,0.6077585420007381,408,0.057670127,
7344,Multiclass classification,CSMOTE,keystroke,601.703125,0.6430262499998207,408,0.054466231,
7752,Multiclass classification,CSMOTE,keystroke,601.703125,0.6774507499994797,408,0.051599587,
8160,Multiclass classification,CSMOTE,keystroke,601.703125,0.7127814169998601,408,0.049019608,
8568,Multiclass classification,CSMOTE,keystroke,601.703125,0.746612417,408,0.046685341,
8976,Multiclass classification,CSMOTE,keystroke,601.703125,0.780344958,408,0.04456328,
9384,Multiclass classification,CSMOTE,keystroke,601.703125,0.8149721669997234,408,0.042625746,
9792,Multiclass classification,CSMOTE,keystroke,601.703125,0.849128333,408,0.040849673,
10200,Multiclass classification,CSMOTE,keystroke,601.703125,0.8828549580011895,408,0.039215686,
10608,Multiclass classification,CSMOTE,keystroke,601.703125,0.9808896249996906,408,0.037707391,
11016,Multiclass classification,CSMOTE,keystroke,601.703125,1.021296250000887,408,0.036310821,
11424,Multiclass classification,CSMOTE,keystroke,601.703125,1.0551356249998207,408,0.035014006,
11832,Multiclass classification,CSMOTE,keystroke,601.703125,1.0896287920004395,408,0.033806626,
12240,Multiclass classification,CSMOTE,keystroke,601.703125,1.123708125000121,408,0.032679739,
12648,Multiclass classification,CSMOTE,keystroke,601.71875,1.1579060000003665,408,0.031625553,
13056,Multiclass classification,CSMOTE,keystroke,601.734375,1.1927484170009848,408,0.030637255,
13464,Multiclass classification,CSMOTE,keystroke,602.609375,1.2268101669997122,408,0.029708853,
13872,Multiclass classification,CSMOTE,keystroke,603.671875,1.3041045419995498,408,0.028835063,
14280,Multiclass classification,CSMOTE,keystroke,603.671875,1.3393023749995336,408,0.028011204,
14688,Multiclass classification,CSMOTE,keystroke,603.671875,1.373897958,408,0.027233115,
15096,Multiclass classification,CSMOTE,keystroke,603.671875,1.4087480420002976,408,0.026497085,
15504,Multiclass classification,CSMOTE,keystroke,603.671875,1.443332458000441,408,0.025799794,
15912,Multiclass classification,CSMOTE,keystroke,603.671875,1.4777959170005488,408,0.02513826,
16320,Multiclass classification,CSMOTE,keystroke,603.671875,1.5131240829996386,408,0.024509804,
16728,Multiclass classification,CSMOTE,keystroke,603.671875,1.547861332999673,408,0.023912004,
17136,Multiclass classification,CSMOTE,keystroke,603.671875,1.5823354580006708,408,0.02334267,
17544,Multiclass classification,CSMOTE,keystroke,603.671875,1.6167041669996252,408,0.022799818,
17952,Multiclass classification,CSMOTE,keystroke,603.671875,1.6512011249997158,408,0.02228164,
18360,Multiclass classification,CSMOTE,keystroke,603.671875,1.6856422500004555,408,0.021786492,
18768,Multiclass classification,CSMOTE,keystroke,603.671875,1.720559208,408,0.021312873,
19176,Multiclass classification,CSMOTE,keystroke,603.671875,1.7558314170000813,408,0.020859408,
19584,Multiclass classification,CSMOTE,keystroke,603.65625,1.790239500000098,408,0.020424837,
19992,Multiclass classification,CSMOTE,keystroke,603.65625,1.8243596669999531,408,0.020008003,
20400,Multiclass classification,CSMOTE,keystroke,603.65625,1.8583815000001775,408,0.019607843,
47,Multiclass classification,DynamicWeightedMajority,imagesegments,607.28125,0.049080708,0,0.0,
94,Multiclass classification,DynamicWeightedMajority,imagesegments,607.359375,0.092652958,0,0.0,
141,Multiclass classification,DynamicWeightedMajority,imagesegments,607.40625,0.1372771249989455,0,0.0,
188,Multiclass classification,DynamicWeightedMajority,imagesegments,607.40625,0.1821439999985159,0,0.0,
235,Multiclass classification,DynamicWeightedMajority,imagesegments,607.390625,0.2257546249984443,0,0.0,
282,Multiclass classification,DynamicWeightedMajority,imagesegments,607.421875,0.2700192079992121,0,0.0,
329,Multiclass classification,DynamicWeightedMajority,imagesegments,607.421875,0.3144877499998983,0,0.0,
376,Multiclass classification,DynamicWeightedMajority,imagesegments,607.421875,0.3579299169996375,0,0.0,
423,Multiclass classification,DynamicWeightedMajority,imagesegments,607.421875,0.4018531249985244,0,0.0,
470,Multiclass classification,DynamicWeightedMajority,imagesegments,607.421875,0.4464564999998401,0,0.0,
517,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.4899881669989554,0,0.0,
564,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.5347958329984976,0,0.0,
611,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.5786312079999334,0,0.0,
658,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.6224382919990603,0,0.0,
705,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.667799125,0,0.0,
752,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.7121143749991461,0,0.0,
799,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.757045583,0,0.0,
846,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.8003751249998459,0,0.0,
893,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.8448659169989696,0,0.0,
940,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.8887952079985553,0,0.0,
987,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,0.9848444580002252,0,0.0,
1034,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,1.0501078329998563,0,0.0,
1081,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,1.0942029999987426,0,0.0,
1128,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,1.1390548330000456,0,0.0,
1175,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,1.182548292,0,0.0,
1222,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,1.2267520419991342,0,0.0,
1269,Multiclass classification,DynamicWeightedMajority,imagesegments,607.4375,1.2701729999989766,0,0.0,
1316,Multiclass classification,DynamicWeightedMajority,imagesegments,607.453125,1.3155042919988773,0,0.0,
1363,Multiclass classification,DynamicWeightedMajority,imagesegments,607.453125,1.360028291999697,0,0.0,
1410,Multiclass classification,DynamicWeightedMajority,imagesegments,607.453125,1.4043845830001374,0,0.0,
1457,Multiclass classification,DynamicWeightedMajority,imagesegments,607.453125,1.448485457998686,0,0.0,
1504,Multiclass classification,DynamicWeightedMajority,imagesegments,607.453125,1.4923402499989606,0,0.0,
1551,Multiclass classification,DynamicWeightedMajority,imagesegments,607.453125,1.5369204999988142,0,0.0,
1598,Multiclass classification,DynamicWeightedMajority,imagesegments,607.5,1.5818145419998473,0,0.0,
1645,Multiclass classification,DynamicWeightedMajority,imagesegments,607.640625,1.6266031249997468,0,0.0,
1692,Multiclass classification,DynamicWeightedMajority,imagesegments,607.71875,1.6706782919991383,0,0.0,
1739,Multiclass classification,DynamicWeightedMajority,imagesegments,607.859375,1.7146904169985646,0,0.0,
1786,Multiclass classification,DynamicWeightedMajority,imagesegments,607.953125,1.7592890830001124,0,0.0,
1833,Multiclass classification,DynamicWeightedMajority,imagesegments,608.03125,1.8041560829988157,0,0.0,
1880,Multiclass classification,DynamicWeightedMajority,imagesegments,608.15625,1.848197916999197,0,0.0,
1927,Multiclass classification,DynamicWeightedMajority,imagesegments,608.265625,1.8918455419989184,0,0.0,
1974,Multiclass classification,DynamicWeightedMajority,imagesegments,608.359375,1.935809832999439,0,0.0,
2021,Multiclass classification,DynamicWeightedMajority,imagesegments,608.46875,1.9790564169998104,0,0.0,
2068,Multiclass classification,DynamicWeightedMajority,imagesegments,608.609375,2.023329999999987,0,0.0,
2115,Multiclass classification,DynamicWeightedMajority,imagesegments,608.703125,2.067391167000096,0,0.0,
2162,Multiclass classification,DynamicWeightedMajority,imagesegments,608.796875,2.1112207919995853,0,0.0,
2209,Multiclass classification,DynamicWeightedMajority,imagesegments,608.921875,2.1558866670002317,0,0.0,
2256,Multiclass classification,DynamicWeightedMajority,imagesegments,609.03125,2.1997759169989877,0,0.0,
2303,Multiclass classification,DynamicWeightedMajority,imagesegments,609.140625,2.2438080419997277,0,0.0,
408,Multiclass classification,DynamicWeightedMajority,keystroke,573.9375,0.3887238339993928,0,0.0,
816,Multiclass classification,DynamicWeightedMajority,keystroke,575.703125,0.7716447499988135,0,0.0,
1224,Multiclass classification,DynamicWeightedMajority,keystroke,577.53125,1.1567571249997854,0,0.0,
1632,Multiclass classification,DynamicWeightedMajority,keystroke,579.296875,1.6848050839998905,0,0.0,
2040,Multiclass classification,DynamicWeightedMajority,keystroke,581.078125,2.0682854169990605,0,0.0,
2448,Multiclass classification,DynamicWeightedMajority,keystroke,582.84375,2.447796209000444,0,0.0,
2856,Multiclass classification,DynamicWeightedMajority,keystroke,584.640625,2.828607583998746,0,0.0,
3264,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,3.2516141249998327,0,0.0,
3672,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,3.626310084,0,0.0,
4080,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,4.000863416998982,0,0.0,
4488,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,4.377403667000181,0,0.0,
4896,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,4.760669584000425,0,0.0,
5304,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,5.144220209000196,0,0.0,
5712,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,5.628500249998979,0,0.0,
6120,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,6.012326459000178,0,0.0,
6528,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,6.377963458999147,0,0.0,
6936,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,6.744768499998827,0,0.0,
7344,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,7.109119624999948,0,0.0,
7752,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,7.479456541999752,0,0.0,
8160,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,7.847617375000482,0,0.0,
8568,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,8.214939499999673,0,0.0,
8976,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,8.583418666999933,0,0.0,
9384,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,8.952342792,0,0.0,
9792,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,9.318243083998825,0,0.0,
10200,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,9.684740124999736,0,0.0,
10608,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,10.05228575000001,0,0.0,
11016,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,10.417496459000176,0,0.0,
11424,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,10.78293812499942,0,0.0,
11832,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,11.14902012499988,0,0.0,
12240,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,11.514319333999085,0,0.0,
12648,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,11.878562459000022,0,0.0,
13056,Multiclass classification,DynamicWeightedMajority,keystroke,582.96875,12.242206167000404,0,0.0,
13464,Multiclass classification,DynamicWeightedMajority,keystroke,583.671875,12.606068208999204,0,0.0,
13872,Multiclass classification,DynamicWeightedMajority,keystroke,584.53125,12.96788816699882,0,0.0,
14280,Multiclass classification,DynamicWeightedMajority,keystroke,585.40625,13.333925041999464,0,0.0,
